unigram,repetation,polarity,sentiment
top,6,0.5,positive
state,6,0.0,neutral
second,6,0.0,neutral
must,6,0.0,neutral
much,6,0.2,positive
workers,6,0.0,neutral
keep,5,0.0,neutral
normal,5,0.15,positive
think,5,0.0,neutral
cabinet,5,0.0,neutral
wise,5,0.7,positive
got,5,0.0,neutral
bmc,5,0.0,neutral
cent,5,0.0,neutral
yet,5,0.0,neutral
sure,5,0.5,positive
take,5,0.0,neutral
nactive,5,0.0,neutral
according,5,0.0,neutral
see,5,0.0,neutral
indian,5,0.0,neutral
video,5,0.0,neutral
happybirthdaymodiji,5,0.0,neutral
nation,5,0.0,neutral
way,5,0.0,neutral
administers,5,0.0,neutral
economy,5,0.0,neutral
ncovishield,5,0.0,neutral
ncova,5,0.0,neutral
ages,5,0.0,neutral
delhi,5,0.0,neutral
patients,5,0.0,neutral
tested,5,0.0,neutral
post,5,0.0,neutral
lockdown,5,0.0,neutral
near,5,0.1,positive
wearing,5,0.0,neutral
using,5,0.0,neutral
age,5,0.0,neutral
sir,5,0.0,neutral
mark,5,0.0,neutral
situation,5,0.0,neutral
watch,5,0.0,neutral
restrictions,5,0.0,neutral
nagaland,5,0.0,neutral
spread,5,0.0,neutral
disease,5,0.0,neutral
taken,5,0.0,neutral
pregnant,5,0.3333333333333333,positive
come,5,0.0,neutral
eligible,5,0.0,neutral
body,5,0.0,neutral
tests,5,0.0,neutral
indiafightscorona,5,0.0,neutral
healthcare,5,0.0,neutral
coronavirusupdates,5,0.0,neutral
large,4,0.21428571428571427,positive
want,4,0.0,neutral
follow,4,0.0,neutral
even,4,0.0,neutral
run,4,0.0,neutral
pr,4,0.0,neutral
tamilnadu,4,0.0,neutral
story,4,0.0,neutral
progress,4,0.0,neutral
let,4,0.0,neutral
narendramodi,4,0.0,neutral
single,4,-0.07142857142857142,negative
related,4,0.0,neutral
giving,4,0.0,neutral
records,4,0.0,neutral
newly,4,0.13636363636363635,positive
rich,4,0.375,positive
conducted,4,0.0,neutral
busy,4,0.1,positive
tell,4,0.0,neutral
significantly,4,0.375,positive
modi,4,0.0,neutral
friday,4,0.0,neutral
pre,4,0.0,neutral
test,4,0.0,neutral
due,4,-0.125,negative
getting,4,0.0,neutral
found,4,0.0,neutral
getvaccinated,4,0.0,neutral
say,4,0.0,neutral
skin,4,0.0,neutral
early,4,0.1,positive
better,4,0.5,positive
funny,4,0.25,positive
reopen,4,0.0,neutral
whole,4,0.2,positive
crosses,4,0.0,neutral
landmark,4,0.0,neutral
cross,4,0.0,neutral
real,4,0.2,positive
classes,4,0.0,neutral
vaccinate,4,0.0,neutral
nplease,4,0.0,neutral
investment,4,0.0,neutral
week,4,0.0,neutral
pakistan,4,0.0,neutral
investors,4,0.0,neutral
logs,4,0.0,neutral
cmc,4,0.0,neutral
back,4,0.0,neutral
use,4,0.0,neutral
proportion,4,0.0,neutral
icmr,4,0.0,neutral
young,4,0.1,positive
number,4,0.0,neutral
market,4,0.0,neutral
results,4,0.0,neutral
complete,4,0.1,positive
mild,4,0.3333333333333333,positive
wow,4,0.1,positive
achievement,4,0.0,neutral
recorded,4,0.0,neutral
without,4,0.0,neutral
odisha,4,0.0,neutral
district,4,0.0,neutral
working,4,0.0,neutral
daily,4,0.0,neutral
thank,4,0.0,neutral
full,4,0.35,positive
fully,4,0.0,neutral
st,4,0.0,neutral
largestvaccinedrive,3,0.0,neutral
thy,3,0.0,neutral
able,3,0.5,positive
nno,3,0.0,neutral
zero,3,0.0,neutral
thursday,3,0.0,neutral
details,3,0.0,neutral
maharashtra,3,0.0,neutral
ja,3,0.0,neutral
trends,3,0.0,neutral
shows,3,0.0,neutral
developed,3,0.1,positive
show,3,0.0,neutral
separate,3,0.0,neutral
bulletin,3,0.0,neutral
wish,3,0.0,neutral
crores,3,0.0,neutral
indians,3,0.0,neutral
ai,3,0.0,neutral
gentle,3,0.2,positive
reminder,3,0.0,neutral
posted,3,0.0,neutral
nread,3,0.0,neutral
loved,3,0.7,positive
digital,3,0.0,neutral
moment,3,0.0,neutral
months,3,0.0,neutral
check,3,0.0,neutral
data,3,0.0,neutral
impact,3,0.0,neutral
media,3,0.0,neutral
claim,3,0.0,neutral
rise,3,0.0,neutral
positivity,3,0.0,neutral
weekend,3,0.0,neutral
nget,3,0.0,neutral
indiablooms,3,0.0,neutral
portal,3,0.0,neutral
end,3,0.0,neutral
reach,3,0.0,neutral
drugs,3,0.0,neutral
en,3,0.0,neutral
super,3,0.3333333333333333,positive
hear,3,0.0,neutral
incredible,3,0.9,positive
colleague,3,0.0,neutral
emmanuel,3,0.0,neutral
vanoli,3,0.0,neutral
fluid,3,0.0,neutral
simulation,3,0.0,neutral
setting,3,0.0,neutral
prime,3,0.0,neutral
policy,3,0.0,neutral
rajiv,3,0.0,neutral
gauba,3,0.0,neutral
nations,3,0.0,neutral
witnessed,3,0.0,neutral
lakh,3,0.0,neutral
tamil,3,0.0,neutral
nadu,3,0.0,neutral
living,3,0.0,neutral
players,3,0.0,neutral
series,3,0.0,neutral
started,3,0.0,neutral
ready,3,0.2,positive
variant,3,0.0,neutral
space,3,0.0,neutral
nit,3,0.0,neutral
erts,3,0.0,neutral
life,3,0.0,neutral
socialdistancing,3,0.0,neutral
read,3,0.0,neutral
bjp,3,0.0,neutral
responsible,3,0.2,positive
contribute,3,0.0,neutral
boost,3,0.0,neutral
talented,3,0.7,positive
engineer,3,0.0,neutral
fears,3,0.0,neutral
learning,3,0.0,neutral
institutions,3,0.0,neutral
virtual,3,0.0,neutral
access,3,0.0,neutral
nwe,3,0.0,neutral
milestone,3,0.0,neutral
tally,3,0.0,neutral
took,3,0.0,neutral
toll,3,0.0,neutral
celebrated,3,0.35,positive
medical,3,0.0,neutral
opportunity,3,0.0,neutral
effort,3,0.0,neutral
morning,3,0.0,neutral
action,3,0.1,positive
maskon,3,0.0,neutral
group,3,0.0,neutral
possible,3,0.0,neutral
said,3,0.0,neutral
major,3,0.0625,positive
infect,3,0.0,neutral
president,3,0.0,neutral
years,3,0.0,neutral
u,3,0.0,neutral
antibodies,3,0.0,neutral
treat,3,0.0,neutral
increase,3,0.0,neutral
month,3,0.0,neutral
continue,3,0.0,neutral
scru,3,0.0,neutral
facemask,3,0.0,neutral
general,3,0.05000000000000002,positive
true,3,0.35,positive
vitamin,3,0.0,neutral
effective,3,0.6,positive
consequences,3,0.0,neutral
economic,3,0.2,positive
mega,3,0.0,neutral
registered,3,0.0,neutral
v,3,0.0,neutral
summary,3,0.0,neutral
bengaluru,3,0.0,neutral
ntests,3,0.0,neutral
ndaily,3,0.0,neutral
ndeaths,3,0.0,neutral
old,3,0.1,positive
colleges,3,0.0,neutral
ntotal,3,0.0,neutral
distribution,3,0.0,neutral
adult,3,0.1,positive
fast,3,0.2,positive
becoming,3,0.45,positive
entire,3,0.0,neutral
non,3,0.0,neutral
multiple,3,0.0,neutral
point,3,0.0,neutral
coronavirusupdate,3,0.0,neutral
find,3,0.0,neutral
la,3,0.0,neutral
marketing,3,0.0,neutral
beneficiaries,3,0.0,neutral
biharfightscorona,3,0.0,neutral
nupdate,3,0.0,neutral
france,3,0.0,neutral
jabs,3,0.0,neutral
among,3,0.0,neutral
look,3,0.0,neutral
less,3,-0.16666666666666666,negative
iphone,3,0.0,neutral
camp,2,0.0,neutral
leadership,2,0.0,neutral
pace,2,0.0,neutral
government,2,0.0,neutral
nthe,2,0.0,neutral
ban,2,0.0,neutral
nbut,2,0.0,neutral
local,2,0.0,neutral
various,2,0.0,neutral
hospitals,2,0.0,neutral
icymi,2,0.0,neutral
beginning,2,0.0,neutral
vacc,2,0.0,neutral
hope,2,0.0,neutral
serosurvey,2,0.0,neutral
forget,2,0.0,neutral
necessary,2,0.0,neutral
precautions,2,0.0,neutral
push,2,0.0,neutral
ongoing,2,0.0,neutral
campaign,2,0.0,neutral
italy,2,0.0,neutral
green,2,-0.2,negative
pass,2,0.0,neutral
largest,2,0.0,neutral
covidvaccination,2,0.0,neutral
sets,2,0.0,neutral
administering,2,0.0,neutral
authorities,2,0.0,neutral
coin,2,0.0,neutral
engagement,2,0.0,neutral
looks,2,0.0,neutral
ppl,2,0.0,neutral
issue,2,0.0,neutral
overwhelming,2,0.5,positive
nothing,2,0.0,neutral
natural,2,0.1,positive
warriors,2,0.0,neutral
mountains,2,0.0,neutral
long,2,-0.05,negative
opened,2,0.0,neutral
immunity,2,0.0,neutral
continues,2,0.0,neutral
away,2,0.0,neutral
viewed,2,0.0,neutral
thousands,2,0.0,neutral
posts,2,0.0,neutral
august,2,0.0,neutral
cultural,2,0.1,positive
noted,2,0.0,neutral
assamcovidupdate,2,0.0,neutral
remote,2,-0.1,negative
become,2,0.0,neutral
learn,2,0.0,neutral
enjoy,2,0.4,positive
home,2,0.0,neutral
movement,2,0.0,neutral
belagavi,2,0.0,neutral
nthanks,2,0.0,neutral
creates,2,0.0,neutral
count,2,0.0,neutral
ticket,2,0.0,neutral
cum,2,0.0,neutral
facility,2,0.0,neutral
past,2,-0.25,negative
main,2,0.16666666666666666,positive
recovery,2,0.0,neutral
staying,2,0.0,neutral
era,2,0.0,neutral
prog,2,0.0,neutral
blog,2,0.0,neutral
diesel,2,0.0,neutral
rose,2,0.6,positive
levels,2,0.0,neutral
traffic,2,0.0,neutral
dashboard,2,0.0,neutral
really,2,0.2,positive
technology,2,0.0,neutral
ones,2,0.0,neutral
decline,2,0.0,neutral
diseases,2,0.0,neutral
nationwidevaccinationdrive,2,0.0,neutral
problem,2,0.0,neutral
coronaupdatesinindia,2,0.0,neutral
mohfw,2,0.0,neutral
unprecedented,2,0.6,positive
feel,2,0.0,neutral
confused,2,-0.4,negative
accessory,2,0.0,neutral
safety,2,0.0,neutral
fun,2,0.3,positive
games,2,0.0,neutral
cumulative,2,0.0,neutral
water,2,0.0,neutral
monitoring,2,0.0,neutral
answer,2,0.0,neutral
kind,2,0.6,positive
pune,2,0.0,neutral
crossed,2,0.0,neutral
nwhere,2,0.0,neutral
advanced,2,0.4,positive
massive,2,0.0,neutral
care,2,0.0,neutral
unit,2,0.0,neutral
pro,2,0.0,neutral
advise,2,0.0,neutral
uttarakhand,2,0.0,neutral
doctors,2,0.0,neutral
largestvaccinationdrive,2,0.0,neutral
vaccinemandate,2,0.0,neutral
clean,2,0.3666666666666667,positive
changing,2,0.0,neutral
vaccinating,2,0.0,neutral
light,2,0.4,positive
kar,2,0.0,neutral
decided,2,0.0,neutral
primary,2,0.4,positive
schools,2,0.0,neutral
mis,2,0.0,neutral
management,2,0.0,neutral
lakhs,2,0.0,neutral
tools,2,0.0,neutral
whether,2,0.0,neutral
pa,2,0.0,neutral
survey,2,0.0,neutral
potential,2,0.0,neutral
nwhat,2,0.0,neutral
abates,2,0.0,neutral
united,2,0.0,neutral
infrastructure,2,0.0,neutral
catalyst,2,0.0,neutral
digtialtransformation,2,0.0,neutral
accelerated,2,0.0,neutral
nac,2,0.0,neutral
rewards,2,0.0,neutral
recognition,2,0.0,neutral
introducing,2,0.0,neutral
catheter,2,0.0,neutral
stories,2,0.0,neutral
foreign,2,-0.125,negative
visitors,2,0.0,neutral
avoid,2,0.0,neutral
visiting,2,0.0,neutral
pakistanisnotsafe,2,0.0,neutral
fatality,2,0.0,neutral
touring,2,0.0,neutral
gender,2,0.0,neutral
administer,2,0.0,neutral
mobile,2,0.0,neutral
smoking,2,0.0,neutral
makers,2,0.0,neutral
renewed,2,0.0,neutral
bridge,2,0.0,neutral
smile,2,0.3,positive
backtoschool,2,0.0,neutral
schoolsofbangalore,2,0.0,neutral
percentage,2,0.0,neutral
rises,2,0.0,neutral
earth,2,0.0,neutral
earlier,2,0.0,neutral
fda,2,0.0,neutral
joined,2,0.0,neutral
international,2,0.0,neutral
scientists,2,0.0,neutral
chief,2,0.0,neutral
gets,2,0.0,neutral
wonderful,2,1.0,positive
ability,2,0.0,neutral
practice,2,0.0,neutral
remains,2,0.0,neutral
privilege,2,0.0,neutral
afford,2,0.0,neutral
household,2,0.0,neutral
pregnancy,2,0.0,neutral
russian,2,0.0,neutral
dozens,2,0.0,neutral
lol,2,0.8,positive
memes,2,0.0,neutral
nationwide,2,0.0,neutral
appropriate,2,0.5,positive
cuba,2,0.0,neutral
distance,2,0.0,neutral
mumbaikars,2,0.0,neutral
recent,2,0.0,neutral
thirdwave,2,0.0,neutral
glad,2,0.5,positive
announce,2,0.0,neutral
nearly,2,0.1,positive
convents,2,0.0,neutral
nuns,2,0.0,neutral
staff,2,0.0,neutral
anyone,2,0.0,neutral
seen,2,0.0,neutral
beautiful,2,0.85,positive
ected,2,0.0,neutral
develop,2,0.0,neutral
vizag,2,0.0,neutral
place,2,0.0,neutral
infection,2,0.0,neutral
severe,2,0.0,neutral
nd,2,0.0,neutral
reading,2,0.0,neutral
steps,2,0.0,neutral
sikkim,2,0.0,neutral
cured,2,0.0,neutral
recove,2,0.0,neutral
clicking,2,0.0,neutral
nis,2,0.0,neutral
surprise,2,0.0,neutral
request,2,0.0,neutral
least,2,-0.3,negative
person,2,0.0,neutral
ceven,2,0.0,neutral
track,2,0.0,neutral
sit,2,0.0,neutral
information,2,0.0,neutral
auto,2,0.0,neutral
amazing,2,0.6000000000000001,positive
ct,2,0.0,neutral
viral,2,0.0,neutral
sectors,2,0.0,neutral
nthat,2,0.0,neutral
npos,2,0.0,neutral
asking,2,0.0,neutral
millions,2,0.0,neutral
director,2,0.0,neutral
happened,2,0.0,neutral
case,2,0.0,neutral
behavior,2,0.0,neutral
makes,2,0.0,neutral
festival,2,0.0,neutral
held,2,0.0,neutral
dhow,2,0.0,neutral
congratulations,2,0.0,neutral
counting,2,0.0,neutral
nin,2,0.0,neutral
drives,2,0.0,neutral
collect,2,0.0,neutral
research,2,0.0,neutral
slow,2,-0.30000000000000004,negative
created,2,0.0,neutral
educational,2,0.25,positive
hoping,2,0.0,neutral
three,2,0.0,neutral
hand,2,0.0,neutral
journalist,2,0.0,neutral
australia,2,0.0,neutral
smart,2,0.21428571428571427,positive
temperature,2,0.0,neutral
yes,2,0.0,neutral
solving,2,0.0,neutral
problems,2,0.0,neutral
distributing,2,0.0,neutral
shri,2,0.0,neutral
astrology,2,0.0,neutral
basic,2,0.0,neutral
capable,2,0.2,positive
needs,2,0.0,neutral
idols,2,0.0,neutral
kumartuli,2,0.0,neutral
nto,2,0.0,neutral
centres,2,0.0,neutral
offering,2,0.0,neutral
cm,2,0.0,neutral
heart,2,0.0,neutral
historic,2,0.0,neutral
power,2,0.0,neutral
malkangiri,2,0.0,neutral
requesting,2,0.0,neutral
ensuring,2,0.0,neutral
citizen,2,0.0,neutral
rules,2,0.0,neutral
coronaviruspandemic,2,0.0,neutral
reduction,2,0.0,neutral
following,2,0.0,neutral
trust,2,0.0,neutral
volunteers,2,0.0,neutral
appeals,2,0.0,neutral
modihaitohmumkinhai,2,0.0,neutral
political,2,0.0,neutral
highlights,2,0.0,neutral
resume,2,0.0,neutral
questions,2,0.0,neutral
asymptomatic,2,0.0,neutral
given,2,0.0,neutral
close,2,0.0,neutral
changes,2,0.0,neutral
w,2,0.0,neutral
guidelines,2,0.0,neutral
unless,2,0.0,neutral
testing,2,0.0,neutral
court,2,0.0,neutral
wishes,2,0.0,neutral
pradesh,2,0.0,neutral
styling,2,0.0,neutral
something,2,0.0,neutral
raise,2,0.0,neutral
fantastic,2,0.4,positive
beats,2,0.0,neutral
front,2,0.0,neutral
tin,2,0.0,neutral
app,2,0.0,neutral
english,2,0.0,neutral
nwatch,2,0.0,neutral
mizoram,2,0.0,neutral
wednesday,2,0.0,neutral
official,2,0.0,neutral
swing,2,0.0,neutral
undone,2,0.0,neutral
latinamerica,2,0.0,neutral
caribbean,2,0.0,neutral
education,2,0.0,neutral
professionals,2,0.0,neutral
risk,2,0.0,neutral
win,2,0.8,positive
smiling,2,0.0,neutral
increased,2,0.0,neutral
ta,2,0.0,neutral
diabetes,2,0.0,neutral
work,2,0.0,neutral
vaccinemadness,2,0.0,neutral
died,2,0.0,neutral
several,2,0.0,neutral
ahead,2,0.0,neutral
preparedness,2,0.0,neutral
delta,2,0.0,neutral
growth,2,0.0,neutral
heads,2,0.0,neutral
doctor,2,0.0,neutral
rd,2,0.0,neutral
unemployment,2,0.0,neutral
plants,2,0.0,neutral
lost,2,0.0,neutral
eua,2,0.0,neutral
booster,2,0.0,neutral
link,2,0.0,neutral
preventive,2,0.0,neutral
paris,2,0.0,neutral
especially,2,0.0,neutral
nwomen,1,0.0,neutral
braces,1,0.0,neutral
incessant,1,0.0,neutral
rains,1,0.0,neutral
que,1,0.0,neutral
neighbour,1,0.0,neutral
thyself,1,0.0,neutral
guwahati,1,0.0,neutral
steady,1,0.16666666666666666,positive
nmake,1,0.0,neutral
pledge,1,0.0,neutral
leeford,1,0.0,neutral
outside,1,0.0,neutral
smarter,1,0.0,neutral
speak,1,0.0,neutral
welcome,1,0.8,positive
nban,1,0.0,neutral
diwali,1,0.0,neutral
temples,1,0.0,neutral
conduct,1,0.0,neutral
imho,1,0.0,neutral
ask,1,0.0,neutral
wet,1,-0.1,negative
lease,1,0.0,neutral
trains,1,0.0,neutral
bu,1,0.0,neutral
hospitalised,1,0.0,neutral
tot,1,0.0,neutral
rajivgauba,1,0.0,neutral
drastically,1,0.0,neutral
rising,1,0.0,neutral
nfull,1,0.0,neutral
finally,1,0.0,neutral
enough,1,0.0,neutral
helps,1,0.0,neutral
stop,1,0.0,neutral
spre,1,0.0,neutral
career,1,0.0,neutral
realisation,1,0.0,neutral
inspiring,1,0.5,positive
seek,1,0.0,neutral
happiness,1,0.7,positive
caree,1,0.0,neutral
significant,1,0.375,positive
lineages,1,0.0,neutral
spillove,1,0.0,neutral
wherever,1,0.0,neutral
contribution,1,0.0,neutral
cryptoforsocialgood,1,0.0,neutral
mandatory,1,0.0,neutral
pe,1,0.0,neutral
pi,1,0.0,neutral
account,1,0.0,neutral
ni,1,0.0,neutral
pmoindia,1,0.0,neutral
succes,1,0.0,neutral
breaking,1,0.0,neutral
nyesterday,1,0.0,neutral
carefully,1,-0.1,negative
nstay,1,0.0,neutral
tuned,1,0.0,neutral
words,1,0.0,neutral
sister,1,0.0,neutral
function,1,0.0,neutral
familyfunction,1,0.0,neutral
familytime,1,0.0,neutral
cerbated,1,0.0,neutral
income,1,0.0,neutral
divide,1,0.0,neutral
brazil,1,0.0,neutral
particularly,1,0.16666666666666666,positive
amongst,1,0.0,neutral
youth,1,0.0,neutral
actually,1,0.0,neutral
change,1,0.0,neutral
psyche,1,0.0,neutral
nso,1,0.0,neutral
closely,1,0.0,neutral
monitering,1,0.0,neutral
looking,1,0.0,neutral
registers,1,0.0,neutral
whooping,1,0.0,neutral
ego,1,0.0,neutral
conclusively,1,0.0,neutral
cinema,1,0.0,neutral
bei,1,0.0,neutral
organic,1,0.0,neutral
cotton,1,0.0,neutral
dye,1,0.0,neutral
ndyed,1,0.0,neutral
herbs,1,0.0,neutral
nhandmade,1,0.0,neutral
ndm,1,0.0,neutral
product,1,0.0,neutral
query,1,0.0,neutral
dedicated,1,0.0,neutral
sing,1,0.0,neutral
side,1,0.0,neutral
effect,1,0.0,neutral
panic,1,0.0,neutral
seeing,1,0.0,neutral
nand,1,0.0,neutral
beha,1,0.0,neutral
oil,1,0.0,neutral
abudhabi,1,0.0,neutral
restricted,1,0.0,neutral
neighbouring,1,0.0,neutral
dubai,1,0.0,neutral
rapidly,1,0.0,neutral
touris,1,0.0,neutral
along,1,0.0,neutral
worldslargestvaccinationdrive,1,0.0,neutral
title,1,0.0,neutral
holder,1,0.0,neutral
supervision,1,0.0,neutral
directed,1,0.0,neutral
killer,1,0.0,neutral
shots,1,0.0,neutral
snatch,1,0.0,neutral
tens,1,0.0,neutral
serving,1,0.0,neutral
hubs,1,0.0,neutral
aai,1,0.0,neutral
kolkata,1,0.0,neutral
passenger,1,0.0,neutral
footfall,1,0.0,neutral
aircraft,1,0.0,neutral
dips,1,0.0,neutral
pair,1,0.0,neutral
programming,1,0.0,neutral
centralvista,1,0.0,neutral
quad,1,0.0,neutral
afghanistan,1,0.0,neutral
telecomsector,1,0.0,neutral
coronasecondwave,1,0.0,neutral
coronapandemic,1,0.0,neutral
arrived,1,0.0,neutral
savings,1,0.0,neutral
ninstall,1,0.0,neutral
saveonbills,1,0.0,neutral
coranavirus,1,0.0,neutral
pills,1,0.0,neutral
delivered,1,0.0,neutral
doorstep,1,0.0,neutral
nshop,1,0.0,neutral
man,1,0.0,neutral
clock,1,0.0,neutral
latestvaccination,1,0.0,neutral
sudden,1,0.0,neutral
plan,1,0.0,neutral
nchoose,1,0.0,neutral
rail,1,0.0,neutral
ntry,1,0.0,neutral
booking,1,0.0,neutral
nrail,1,0.0,neutral
train,1,0.0,neutral
depar,1,0.0,neutral
navajo,1,0.0,neutral
launches,1,0.0,neutral
countrywide,1,0.0,neutral
telemedicine,1,0.0,neutral
consultation,1,0.0,neutral
jigyasa,1,0.0,neutral
outreach,1,0.0,neutral
programmes,1,0.0,neutral
private,1,0.0,neutral
reduced,1,0.0,neutral
mon,1,0.0,neutral
themes,1,0.0,neutral
declaration,1,0.0,neutral
sustainable,1,0.0,neutral
development,1,0.0,neutral
indoors,1,0.0,neutral
spend,1,0.0,neutral
family,1,0.0,neutral
ety,1,0.0,neutral
birth,1,0.0,neutral
frictions,1,0.0,neutral
shift,1,0.0,neutral
thinking,1,0.0,neutral
monetary,1,0.0,neutral
fiscal,1,0.0,neutral
bode,1,0.0,neutral
tick,1,0.0,neutral
surges,1,0.0,neutral
nlive,1,0.0,neutral
motor,1,0.0,neutral
gasoline,1,0.0,neutral
transport,1,0.0,neutral
gasoil,1,0.0,neutral
sales,1,0.0,neutral
accor,1,0.0,neutral
abl,1,0.0,neutral
remedsivir,1,0.0,neutral
founder,1,0.0,neutral
ceo,1,0.0,neutral
jump,1,0.0,neutral
watching,1,0.0,neutral
increasing,1,0.0,neutral
counter,1,0.0,neutral
joy,1,0.8,positive
ev,1,0.0,neutral
caseload,1,0.0,neutral
integrated,1,0.0,neutral
air,1,0.0,neutral
fan,1,0.0,neutral
sounds,1,0.0,neutral
interesting,1,0.5,positive
premium,1,0.0,neutral
office,1,0.0,neutral
colleagues,1,0.0,neutral
yearsofeeztail,1,0.0,neutral
valuations,1,0.0,neutral
ites,1,0.0,neutral
firms,1,0.0,neutral
five,1,0.0,neutral
usd,1,0.0,neutral
inc,1,0.0,neutral
transaction,1,0.0,neutral
valu,1,0.0,neutral
kinds,1,0.0,neutral
respiratory,1,0.0,neutral
luding,1,0.0,neutral
estimates,1,0.0,neutral
impacted,1,0.0,neutral
msme,1,0.0,neutral
earnings,1,0.0,neutral
fa,1,0.0,neutral
okay,1,0.5,positive
speculations,1,0.0,neutral
rumors,1,0.0,neutral
coming,1,0.0,neutral
ndon,1,0.0,neutral
pakvnz,1,0.0,neutral
necessity,1,0.0,neutral
festive,1,0.0,neutral
eventually,1,0.0,neutral
nerves,1,0.0,neutral
ncomment,1,0.0,neutral
tel,1,0.0,neutral
coverage,1,0.0,neutral
breaks,1,0.0,neutral
cro,1,0.0,neutral
drinking,1,0.0,neutral
comment,1,0.0,neutral
le,1,0.0,neutral
fe,1,0.0,neutral
uv,1,0.0,neutral
disinfection,1,0.0,neutral
lamp,1,0.0,neutral
sterilize,1,0.0,neutral
safeguard,1,0.0,neutral
community,1,0.0,neutral
reduce,1,0.0,neutral
spreading,1,0.0,neutral
rct,1,0.0,neutral
bang,1,0.0,neutral
rest,1,0.0,neutral
follows,1,0.0,neutral
