bigram,repetation,polarity,sentiment
crore lakh,2,0.0,neutral
lakh doses,2,0.0,neutral
far nationwidevaccinationdrive,2,0.1,positive
hours total,2,0.0,neutral
cases rise,2,0.0,neutral
coronaupdatesinindia n,2,0.0,neutral
n september,2,0.0,neutral
september mohfw,2,0.0,neutral
mohfw n,2,0.0,neutral
total covid,2,0.0,neutral
cases hrs,2,0.0,neutral
hrs c,2,0.0,neutral
patients test,2,0.0,neutral
nadu today,2,0.0,neutral
today september,2,0.0,neutral
september update,2,0.0,neutral
crore n,2,0.0,neutral
f india,2,0.0,neutral
wearamask getvaccinated,2,0.0,neutral
crossed crore,2,0.0,neutral
mask covid,2,0.0,neutral
erts still,2,0.0,neutral
still advise,2,0.0,neutral
advise mask,2,0.0,neutral
say safe,2,0.5,positive
crore citizens,2,0.0,neutral
citizens day,2,0.0,neutral
n kar,2,0.0,neutral
year pa,2,0.0,neutral
us covid,2,0.0,neutral
real fears,2,0.2,positive
fears potential,2,0.0,neutral
potential third,2,0.0,neutral
n nwhat,2,0.0,neutral
nwhat make,2,0.0,neutral
make situation,2,0.0,neutral
situation pandemic,2,0.0,neutral
pandemic abates,2,0.0,neutral
abates virus,2,0.0,neutral
kerala reopen,2,0.0,neutral
pandemic catalyst,2,0.0,neutral
catalyst digtialtransformation,2,0.0,neutral
digtialtransformation accelerated,2,0.0,neutral
accelerated need,2,0.0,neutral
need investment,2,0.0,neutral
investment new,2,0.13636363636363635,positive
n nread,2,0.0,neutral
video f,2,0.0,neutral
amp safe,2,0.5,positive
largestvaccinedrive n,2,0.0,neutral
week n,2,0.0,neutral
pakistan safe,2,0.5,positive
safe foreign,2,0.1875,positive
foreign investors,2,-0.125,negative
investors visitors,2,0.0,neutral
visitors players,2,0.0,neutral
players nplease,2,0.0,neutral
nplease avoid,2,0.0,neutral
avoid visiting,2,0.0,neutral
visiting pakistan,2,0.0,neutral
pakistan n,2,0.0,neutral
n pakistanisnotsafe,2,0.0,neutral
hours india,2,0.0,neutral
reported fresh,2,0.3,positive
crore doses,2,0.0,neutral
vaccination n,2,0.0,neutral
amp covid,2,0.0,neutral
covid related,2,0.0,neutral
related restrictions,2,0.0,neutral
minister ji,2,0.0,neutral
pandemic used,2,0.0,neutral
used opportunity,2,0.0,neutral
opportunity policy,2,0.0,neutral
policy makers,2,0.0,neutral
makers renewed,2,0.0,neutral
renewed effort,2,0.0,neutral
effort amp,2,0.0,neutral
amp higher,2,0.25,positive
higher investment,2,0.25,positive
investment bridge,2,0.0,neutral
bridge th,2,0.0,neutral
back action,2,0.05,positive
action students,2,0.1,positive
students back,2,0.0,neutral
back school,2,0.0,neutral
school n,2,0.0,neutral
n maskon,2,0.0,neutral
maskon backtoschool,2,0.0,neutral
backtoschool schoolsofbangalore,2,0.0,neutral
n nit,2,0.0,neutral
today death,2,0.0,neutral
toll rises,2,0.0,neutral
new age,2,0.13636363636363635,positive
social amp,2,0.03333333333333333,positive
n maskup,2,0.0,neutral
getting vaccinated,2,0.0,neutral
ability practice,2,0.0,neutral
practice socialdistancing,2,0.0,neutral
socialdistancing still,2,0.0,neutral
still remains,2,0.0,neutral
remains privilege,2,0.0,neutral
privilege rich,2,0.375,positive
rich afford,2,0.375,positive
afford separate,2,0.0,neutral
separate household,2,0.0,neutral
proportion pregnant,2,0.3333333333333333,positive
russian president,2,0.0,neutral
dozens people,2,0.0,neutral
follow covid,2,0.0,neutral
covid appropriate,2,0.5,positive
covid positive,2,0.22727272727272727,positive
social distance,2,0.03333333333333333,positive
good news,2,0.7,positive
covid antibodies,2,0.0,neutral
covid patients,2,0.0,neutral
received first,2,0.25,positive
covid new,2,0.13636363636363635,positive
two convents,2,0.0,neutral
go lockdown,2,0.0,neutral
nuns staff,2,0.0,neutral
e ected,2,0.0,neutral
vaccinationdrive n,2,0.0,neutral
n happybirthdaymodiji,2,0.0,neutral
face scru,2,0.0,neutral
travel restrictions,2,0.0,neutral
crore vaccine,2,0.0,neutral
severe disease,2,0.0,neutral
disease death,2,0.0,neutral
covid e,2,0.0,neutral
first time,2,0.25,positive
covid amp,2,0.0,neutral
safe effective,2,0.55,positive
sikkim covid,2,0.0,neutral
update new,2,0.13636363636363635,positive
cases tests,2,0.0,neutral
tests total,2,0.0,neutral
cases active,2,-0.13333333333333333,negative
active cured,2,-0.13333333333333333,negative
cured discharged,2,0.0,neutral
discharged new,2,0.13636363636363635,positive
new recove,2,0.13636363636363635,positive
consequences pandemic,2,0.0,neutral
mega covid,2,0.0,neutral
vaccinations today,2,0.0,neutral
india already,2,0.0,neutral
already huge,2,0.4000000000000001,positive
birthday surprise,2,0.0,neutral
covidvaccine covid,2,0.0,neutral
least one,2,-0.3,negative
ceven right,2,0.2857142857142857,positive
right track,2,0.2857142857142857,positive
track run,2,0.0,neutral
run sit,2,0.0,neutral
sit n,2,0.0,neutral
coronavirus may,2,0.0,neutral
n nthat,2,0.0,neutral
ndeaths f,2,0.0,neutral
f npos,2,0.0,neutral
n getvaccinated,2,0.0,neutral
getvaccinated f,2,0.0,neutral
last year,2,0.0,neutral
f dhow,2,0.0,neutral
dhow treat,2,0.0,neutral
treat children,2,0.0,neutral
covid disease,2,0.0,neutral
disease n,2,0.0,neutral
congratulations india,2,0.0,neutral
two crore,2,0.0,neutral
crore indians,2,0.0,neutral
first wear,2,0.25,positive
n nin,2,0.0,neutral
nin distribution,2,0.0,neutral
distribution drives,2,0.0,neutral
drives people,2,0.0,neutral
people come,2,0.0,neutral
come collect,2,0.0,neutral
done covid,2,0.0,neutral
doses still,2,0.0,neutral
vaccination done,2,0.0,neutral
take first,2,0.25,positive
one dose,2,0.0,neutral
body temperature,2,0.0,neutral
without solving,2,0.0,neutral
problems without,2,0.0,neutral
free masks,2,0.4,positive
vaccination numbers,2,0.0,neutral
last hrs,2,0.0,neutral
hrs n,2,0.0,neutral
online classes,2,0.0,neutral
cases nto,2,0.0,neutral
one day,2,0.0,neutral
n non,2,0.0,neutral
birthday india,2,0.0,neutral
doses covid,2,0.0,neutral
ntotal cases,2,0.0,neutral
update malkangiri,2,0.0,neutral
malkangiri district,2,0.0,neutral
district nno,2,0.0,neutral
nno positive,2,0.22727272727272727,positive
detected district,2,0.0,neutral
district requesting,2,0.0,neutral
complete covid,2,0.1,positive
coronavirusupdate coronaviruspandemic,2,0.0,neutral
coronaviruspandemic new,2,0.13636363636363635,positive
new coronavirus,2,0.13636363636363635,positive
coronavirus cases,2,0.0,neutral
cases reduction,2,0.0,neutral
reduction active,2,-0.13333333333333333,negative
tests conducted,2,0.0,neutral
indiafightscorona n,2,0.0,neutral
india fight,2,0.0,neutral
india adult,2,0.1,positive
one crore,2,0.0,neutral
mask stay,2,0.0,neutral
f coronavirusupdates,2,0.0,neutral
covid covidvaccine,2,0.0,neutral
unless new,2,0.13636363636363635,positive
testing positive,2,0.22727272727272727,positive
far n,2,0.1,positive
daily covid,2,0.0,neutral
weekend styling,2,0.0,neutral
new study,2,0.13636363636363635,positive
fantastic achievement,2,0.4,positive
achievement india,2,0.0,neutral
india beats,2,0.0,neutral
beats world,2,0.0,neutral
world covid,2,0.0,neutral
vaccination front,2,0.0,neutral
front tin,2,0.0,neutral
n nwatch,2,0.0,neutral
crore vaccines,2,0.0,neutral
covid undone,2,0.0,neutral
undone much,2,0.2,positive
much progress,2,0.2,positive
progress made,2,0.0,neutral
made latinamerica,2,0.0,neutral
latinamerica caribbean,2,0.0,neutral
caribbean countries,2,0.0,neutral
countries education,2,0.0,neutral
coronavirus india,2,0.0,neutral
far india,2,0.1,positive
covid jabs,2,0.0,neutral
e e,2,0.0,neutral
done till,2,0.0,neutral
special day,2,0.35714285714285715,positive
yet n,2,0.0,neutral
st birthday,2,0.0,neutral
india administered,2,0.0,neutral
hours new,2,0.13636363636363635,positive
n coronavirusupdates,2,0.0,neutral
coronavirusupdates covid,2,0.0,neutral
population many,2,0.5,positive
rd wave,2,0.0,neutral
one death,2,0.0,neutral
booster dose,2,0.0,neutral
pm birthday,2,0.0,neutral
live f,2,0.13636363636363635,positive
paris france,2,0.0,neutral
largestvaccinedrive nwomen,1,0.0,neutral
nwomen braces,1,0.0,neutral
braces incessant,1,0.0,neutral
incessant rains,1,0.0,neutral
rains que,1,0.0,neutral
que large,1,0.21428571428571427,positive
large numbers,1,0.21428571428571427,positive
numbers covid,1,0.0,neutral
love thy,1,0.5,positive
thy neighbour,1,0.0,neutral
neighbour thyself,1,0.0,neutral
thyself keep,1,0.0,neutral
keep safe,1,0.5,positive
e n,1,0.0,neutral
n guwahati,1,0.0,neutral
guwahati assam,1,0.0,neutral
able leadership,1,0.5,positive
leadership pm,1,0.0,neutral
ji covid,1,0.0,neutral
drive going,1,0.0,neutral
going steady,1,0.16666666666666666,positive
steady pace,1,0.16666666666666666,positive
pace c,1,0.0,neutral
want future,1,0.0,neutral
future normal,1,0.075,positive
normal nmake,1,0.15,positive
nmake pledge,1,0.0,neutral
pledge always,1,0.0,neutral
always wear,1,0.0,neutral
wear leeford,1,0.0,neutral
leeford n,1,0.0,neutral
mask outside,1,0.0,neutral
outside follow,1,0.0,neutral
follow smarter,1,0.0,neutral
record f,1,0.0,neutral
f nno,1,0.0,neutral
nno government,1,0.0,neutral
government leadership,1,0.0,neutral
leadership world,1,0.0,neutral
world even,1,0.0,neutral
even think,1,0.0,neutral
think nthe,1,0.0,neutral
nthe numbers,1,0.0,neutral
numbers speak,1,0.0,neutral
speak th,1,0.0,neutral
great welcome,1,0.8,positive
welcome third,1,0.4,positive
wave coronavirus,1,0.0,neutral
coronavirus nban,1,0.0,neutral
nban diwali,1,0.0,neutral
diwali ban,1,0.0,neutral
ban temples,1,0.0,neutral
temples nbut,1,0.0,neutral
nbut conduct,1,0.0,neutral
imho ask,1,0.0,neutral
ask wet,1,-0.1,negative
wet lease,1,-0.1,negative
lease local,1,0.0,neutral
local trains,1,0.0,neutral
trains run,1,0.0,neutral
run best,1,1.0,positive
best bu,1,1.0,positive
covid zero,1,0.0,neutral
new infections,1,0.13636363636363635,positive
infections hospitalised,1,0.0,neutral
hospitalised discharged,1,0.0,neutral
discharged various,1,0.0,neutral
various hospitals,1,0.0,neutral
hospitals thursday,1,0.0,neutral
thursday tot,1,0.0,neutral
secretary rajivgauba,1,0.0,neutral
rajivgauba chairs,1,0.0,neutral
covid pr,1,0.0,neutral
icymi f,1,0.0,neutral
f beginning,1,0.0,neutral
beginning third,1,0.0,neutral
wave fresh,1,0.3,positive
cases drastically,1,0.0,neutral
drastically rising,1,0.0,neutral
rising kerala,1,0.0,neutral
kerala maharashtra,1,0.0,neutral
maharashtra f,1,0.0,neutral
n nfull,1,0.0,neutral
nfull story,1,0.0,neutral
covid progress,1,0.0,neutral
progress vacc,1,0.0,neutral
finally got,1,0.0,neutral
got first,1,0.25,positive
first ja,1,0.25,positive
ja covid,1,0.0,neutral
today let,1,0.0,neutral
let hope,1,0.0,neutral
hope enough,1,0.0,neutral
enough us,1,0.0,neutral
us vaccinated,1,0.0,neutral
vaccinated helps,1,0.0,neutral
helps stop,1,0.0,neutral
stop spre,1,0.0,neutral
career trends,1,0.0,neutral
trends september,1,0.0,neutral
th n,1,0.0,neutral
n great,1,0.8,positive
great realisation,1,0.8,positive
realisation inspiring,1,0.5,positive
inspiring people,1,0.5,positive
people seek,1,0.0,neutral
seek happiness,1,0.7,positive
happiness caree,1,0.7,positive
bmc latest,1,0.5,positive
latest serosurvey,1,0.5,positive
serosurvey shows,1,0.0,neutral
shows per,1,0.0,neutral
cent mumbai,1,0.0,neutral
mumbai population,1,0.0,neutral
population may,1,0.0,neutral
significant study,1,0.375,positive
study show,1,0.0,neutral
show two,1,0.0,neutral
two separate,1,0.0,neutral
separate lineages,1,0.0,neutral
lineages two,1,0.0,neutral
two spillove,1,0.0,neutral
let forget,1,0.0,neutral
forget covid,1,0.0,neutral
covid yet,1,0.0,neutral
yet wherever,1,0.0,neutral
wherever make,1,0.0,neutral
sure take,1,0.5,positive
take necessary,1,0.0,neutral
precautions stay,1,0.0,neutral
thanks contribution,1,0.2,positive
contribution n,1,0.0,neutral
n cryptoforsocialgood,1,0.0,neutral
cryptoforsocialgood covid,1,0.0,neutral
latest push,1,0.5,positive
push ongoing,1,0.0,neutral
ongoing vaccination,1,0.0,neutral
vaccination campaign,1,0.0,neutral
campaign italy,1,0.0,neutral
italy made,1,0.0,neutral
made covid,1,0.0,neutral
covid green,1,-0.2,negative
green pass,1,-0.2,negative
pass mandatory,1,0.0,neutral
mandatory pe,1,0.0,neutral
pi bulletin,1,0.0,neutral
bulletin covid,1,0.0,neutral
cases account,1,0.0,neutral
account total,1,0.0,neutral
n ni,1,0.0,neutral
birthday pmoindia,1,0.0,neutral
pmoindia narendramodi,1,0.0,neutral
narendramodi wish,1,0.0,neutral
wish succes,1,0.0,neutral
succes largest,1,0.0,neutral
largest covidvaccination,1,0.0,neutral
covidvaccination drive,1,0.0,neutral
drive covid,1,0.0,neutral
breaking india,1,0.0,neutral
day record,1,0.0,neutral
record administering,1,0.0,neutral
administering crores,1,0.0,neutral
crores covid,1,0.0,neutral
doses n,1,0.0,neutral
cowin indians,1,0.0,neutral
today cr,1,0.0,neutral
already administered,1,0.0,neutral
administered authorities,1,0.0,neutral
authorities ai,1,0.0,neutral
reminder n,1,0.0,neutral
n nyesterday,1,0.0,neutral
nyesterday posted,1,0.0,neutral
posted mask,1,0.0,neutral
mask nread,1,0.0,neutral
nread carefully,1,-0.1,negative
carefully n,1,-0.1,negative
n nstay,1,0.0,neutral
nstay tuned,1,0.0,neutral
tuned new,1,0.13636363636363635,positive
happy words,1,0.8,positive
words sister,1,0.0,neutral
sister loved,1,0.7,positive
loved one,1,0.7,positive
one engagement,1,0.0,neutral
engagement function,1,0.0,neutral
function n,1,0.0,neutral
n engagement,1,0.0,neutral
engagement familyfunction,1,0.0,neutral
familyfunction familytime,1,0.0,neutral
pandemic e,1,0.0,neutral
e cerbated,1,0.0,neutral
cerbated income,1,0.0,neutral
income digital,1,0.0,neutral
digital divide,1,0.0,neutral
divide brazil,1,0.0,neutral
brazil particularly,1,0.16666666666666666,positive
particularly amongst,1,0.16666666666666666,positive
amongst children,1,0.0,neutral
children youth,1,0.0,neutral
know actually,1,0.0,neutral
actually change,1,0.0,neutral
change psyche,1,0.0,neutral
psyche looks,1,0.0,neutral
looks nso,1,0.0,neutral
nso many,1,0.5,positive
many ppl,1,0.5,positive
ppl closely,1,0.0,neutral
closely monitering,1,0.0,neutral
monitering looking,1,0.0,neutral
looking covid,1,0.0,neutral
covid vacc,1,0.0,neutral
india registers,1,0.0,neutral
registers new,1,0.13636363636363635,positive
whooping think,1,0.0,neutral
think ego,1,0.0,neutral
ego issue,1,0.0,neutral
issue overwhelming,1,0.5,positive
overwhelming conclusively,1,0.5,positive
conclusively think,1,0.0,neutral
think nothing,1,0.0,neutral
nothing cinema,1,0.0,neutral
cinema bei,1,0.0,neutral
organic cotton,1,0.0,neutral
cotton natural,1,0.1,positive
natural dye,1,0.1,positive
dye masks,1,0.0,neutral
masks n,1,0.0,neutral
n ndyed,1,0.0,neutral
ndyed natural,1,0.1,positive
natural f,1,0.1,positive
f herbs,1,0.0,neutral
herbs n,1,0.0,neutral
n nhandmade,1,0.0,neutral
nhandmade women,1,0.0,neutral
women n,1,0.0,neutral
n ndm,1,0.0,neutral
ndm product,1,0.0,neutral
product related,1,0.0,neutral
related query,1,0.0,neutral
thanks f,1,0.2,positive
f dedicated,1,0.0,neutral
dedicated warriors,1,0.0,neutral
warriors giving,1,0.0,neutral
giving us,1,0.0,neutral
us proud,1,0.8,positive
moment cr,1,0.0,neutral
vaccination world,1,0.0,neutral
world records,1,0.0,neutral
records sing,1,0.0,neutral
side effect,1,0.0,neutral
effect mountains,1,0.0,neutral
mountains travel,1,0.0,neutral
travel long,1,-0.05,negative
long got,1,-0.05,negative
got panic,1,0.0,neutral
panic seeing,1,0.0,neutral
seeing many,1,0.5,positive
people around,1,0.0,neutral
around n,1,0.0,neutral
n nand,1,0.0,neutral
nand people,1,0.0,neutral
people beha,1,0.0,neutral
months oil,1,0.0,neutral
oil rich,1,0.375,positive
rich abudhabi,1,0.375,positive
abudhabi restricted,1,0.0,neutral
restricted travel,1,0.0,neutral
travel even,1,0.0,neutral
even neighbouring,1,0.0,neutral
neighbouring dubai,1,0.0,neutral
dubai rapidly,1,0.0,neutral
rapidly opened,1,0.0,neutral
opened touris,1,0.0,neutral
bmc conducted,1,0.0,neutral
conducted serosurvey,1,0.0,neutral
serosurvey according,1,0.0,neutral
according population,1,0.0,neutral
population developed,1,0.1,positive
developed immunity,1,0.1,positive
immunity covid,1,0.0,neutral
along worldslargestvaccinationdrive,1,0.0,neutral
worldslargestvaccinationdrive india,1,0.0,neutral
india proud,1,0.8,positive
proud title,1,0.8,positive
title holder,1,0.0,neutral
holder country,1,0.0,neutral
check latest,1,0.5,positive
covid data,1,0.0,neutral
data see,1,0.0,neutral
see coronavirus,1,0.0,neutral
coronavirus continues,1,0.0,neutral
continues impact,1,0.0,neutral
impact indian,1,0.0,neutral
indian country,1,0.0,neutral
new supervision,1,0.13636363636363635,positive
supervision directed,1,0.0,neutral
directed shows,1,0.0,neutral
shows killer,1,0.0,neutral
killer shots,1,0.0,neutral
shots snatch,1,0.0,neutral
snatch away,1,0.0,neutral
away pr,1,0.0,neutral
video viewed,1,0.0,neutral
viewed tens,1,0.0,neutral
tens thousands,1,0.0,neutral
times social,1,0.03333333333333333,positive
social media,1,0.03333333333333333,positive
media posts,1,0.0,neutral
posts august,1,0.0,neutral
august claim,1,0.0,neutral
claim shows,1,0.0,neutral
vaccine available,1,0.4,positive
available sep,1,0.4,positive
sep vaccine,1,0.0,neutral
vaccine covid,1,0.0,neutral
serving one,1,0.0,neutral
one india,1,0.0,neutral
india cultural,1,0.1,positive
cultural hubs,1,0.1,positive
hubs aai,1,0.0,neutral
aai kolkata,1,0.0,neutral
kolkata noted,1,0.0,neutral
noted rise,1,0.0,neutral
rise passenger,1,0.0,neutral
passenger footfall,1,0.0,neutral
footfall aircraft,1,0.0,neutral
assam reports,1,0.0,neutral
